trade_id,report_date,counterparty_id,notional_amount,currency,status,asset_class,jurisdiction
TRD-00000,2024-01-01,CP-2824,1878955.19,JPY,SETTLED,BOND,EU
TRD-00001,2024-01-02,CP-1409,4754064.39,JPY,SETTLED,DERIVATIVE,UK
TRD-00002,2024-01-03,CP-5506,3662649.77,GBP,SETTLED,EQUITY,APAC
TRD-00003,2024-01-04,CP-5012,2997305.84,USD,SETTLED,EQUITY,UK
TRD-00004,2024-01-05,CP-4657,788533.02,JPY,SETTLED,EQUITY,EU
TRD-00005,2024-01-06,CP-3286,788412.66,JPY,FAILED,EQUITY,UK
TRD-00006,2024-01-07,CP-2679,299837.22,EUR,SETTLED,FX,EU
TRD-00007,2024-01-08,CP-9935,4332218.97,JPY,SETTLED,EQUITY,UK
TRD-00008,2024-01-09,CP-2424,3009563.91,JPY,SETTLED,FX,EU
TRD-00009,2024-01-10,CP-7912,3543282.16,EUR,SETTLED,FX,EU
TRD-00010,2024-01-11,CP-1520,112716.63,GBP,SETTLED,EQUITY,EU
TRD-00011,2024-01-12,CP-1488,4849850.16,JPY,SETTLED,EQUITY,APAC
TRD-00012,2024-01-13,CP-2535,4163888.78,EUR,SETTLED,BOND,UK
TRD-00013,2024-01-14,CP-4582,1069572.16,USD,FAILED,DERIVATIVE,UK
TRD-00014,2024-01-15,CP-4811,917306.59,GBP,SETTLED,EQUITY,UK
TRD-00015,2024-01-16,CP-9279,925188.5,USD,SETTLED,BOND,EU
TRD-00016,2024-01-17,CP-1434,1528168.79,USD,SETTLED,BOND,UK
TRD-00017,2024-01-18,CP-4257,2628534.59,EUR,SETTLED,DERIVATIVE,UK
TRD-00018,2024-01-19,CP-9928,2165405.64,JPY,SETTLED,FX,EU
TRD-00019,2024-01-20,CP-7873,1463233.41,EUR,SETTLED,EQUITY,US
TRD-00020,2024-01-21,CP-4611,3063145.94,EUR,SETTLED,DERIVATIVE,EU
TRD-00021,2024-01-22,CP-8359,706074.36,EUR,SETTLED,EQUITY,UK
TRD-00022,2024-01-23,CP-5557,1467801.8,EUR,SETTLED,BOND,EU
TRD-00023,2024-01-24,CP-1106,1838145.6,GBP,SETTLED,BOND,US
TRD-00024,2024-01-25,CP-3615,2285789.22,JPY,FAILED,FX,EU
TRD-00025,2024-01-26,CP-7924,3928028.05,USD,SETTLED,BOND,UK
TRD-00026,2024-01-27,CP-6574,1006372.17,USD,SETTLED,BOND,US
TRD-00027,2024-01-28,CP-5552,2576029.85,JPY,SETTLED,DERIVATIVE,APAC
TRD-00028,2024-01-29,CP-3547,2966148.7,USD,SETTLED,EQUITY,UK
TRD-00029,2024-01-30,CP-4527,241787.56,JPY,SETTLED,EQUITY,US
TRD-00030,2024-01-31,CP-6514,3041648.81,USD,SETTLED,DERIVATIVE,US
TRD-00031,2024-02-01,CP-2674,860915.38,EUR,SETTLED,FX,APAC
TRD-00032,2024-02-02,CP-2519,334607.45,USD,SETTLED,EQUITY,EU
TRD-00033,2024-02-03,CP-7224,4744938.83,JPY,SETTLED,BOND,EU
TRD-00034,2024-02-04,CP-2584,4828503.85,JPY,SETTLED,EQUITY,UK
TRD-00035,2024-02-05,CP-6881,4043902.77,JPY,SETTLED,BOND,APAC
TRD-00036,2024-02-06,CP-6635,1530022.71,JPY,PENDING,FX,EU
TRD-00037,2024-02-07,CP-5333,497383.85,JPY,SETTLED,DERIVATIVE,APAC
TRD-00038,2024-02-08,CP-1711,3424322.8,GBP,SETTLED,EQUITY,EU
TRD-00039,2024-02-09,CP-8527,2206360.94,GBP,SETTLED,DERIVATIVE,US
TRD-00040,2024-02-10,CP-9785,618970.79,USD,SETTLED,EQUITY,EU
TRD-00041,2024-02-11,CP-3045,2480932.78,JPY,SETTLED,BOND,APAC
TRD-00042,2024-02-12,CP-7201,181598.72,USD,SETTLED,DERIVATIVE,US
TRD-00043,2024-02-13,CP-2291,4547508.81,JPY,SETTLED,EQUITY,US
TRD-00044,2024-02-14,CP-5803,1301312.11,JPY,SETTLED,BOND,US
TRD-00045,2024-02-15,CP-6925,3315986.2,GBP,SETTLED,DERIVATIVE,APAC
TRD-00046,2024-02-16,CP-4150,1565438.27,GBP,SETTLED,DERIVATIVE,UK
TRD-00047,2024-02-17,CP-2139,2605139.43,EUR,SETTLED,EQUITY,UK
TRD-00048,2024-02-18,CP-1750,2738084.29,GBP,SETTLED,EQUITY,UK
TRD-00049,2024-02-19,CP-4733,932423.73,EUR,SETTLED,EQUITY,APAC
TRD-00050,2024-02-20,CP-5741,4848227.29,EUR,SETTLED,BOND,US
TRD-00051,2024-02-21,CP-2307,3877912.79,EUR,PENDING,EQUITY,UK
TRD-00052,2024-02-22,CP-4814,4698099.72,EUR,SETTLED,DERIVATIVE,APAC
TRD-00053,2024-02-23,CP-2654,4475188.48,EUR,SETTLED,DERIVATIVE,UK
TRD-00054,2024-02-24,CP-7227,2993520.89,USD,SETTLED,EQUITY,EU
TRD-00055,2024-02-25,CP-5554,4610152.43,GBP,SETTLED,EQUITY,UK
TRD-00056,2024-02-26,CP-8428,451577.59,EUR,SETTLED,FX,UK
TRD-00057,2024-02-27,CP-6977,987954.48,JPY,SETTLED,DERIVATIVE,US
TRD-00058,2024-02-28,CP-3664,235684.17,GBP,PENDING,BOND,APAC
TRD-00059,2024-02-29,CP-7065,1633398.35,GBP,SETTLED,FX,US
TRD-00060,2024-03-01,CP-6820,1949499.68,EUR,SETTLED,EQUITY,US
TRD-00061,2024-03-02,CP-4432,1364031.67,USD,SETTLED,EQUITY,US
TRD-00062,2024-03-03,CP-5374,4145400.17,EUR,SETTLED,DERIVATIVE,US
TRD-00063,2024-03-04,CP-2169,1790199.1,USD,SETTLED,EQUITY,US
TRD-00064,2024-03-05,CP-3803,1411863.2,JPY,PENDING,BOND,UK
TRD-00065,2024-03-06,CP-9751,2718053.45,GBP,SETTLED,DERIVATIVE,US
TRD-00066,2024-03-07,CP-5010,713211.88,JPY,FAILED,EQUITY,US
TRD-00067,2024-03-08,CP-3677,4012962.93,USD,PENDING,DERIVATIVE,APAC
TRD-00068,2024-03-09,CP-8573,382007.71,USD,SETTLED,EQUITY,EU
TRD-00069,2024-03-10,CP-7216,4934565.81,JPY,SETTLED,EQUITY,UK
TRD-00070,2024-03-11,CP-5422,3863501.4,USD,SETTLED,EQUITY,UK
TRD-00071,2024-03-12,CP-4598,1001591.25,JPY,SETTLED,BOND,UK
TRD-00072,2024-03-13,CP-6313,37555.36,GBP,SETTLED,BOND,US
TRD-00073,2024-03-14,CP-1916,4079152.53,JPY,SETTLED,DERIVATIVE,US
TRD-00074,2024-03-15,CP-4752,3537218.15,GBP,SETTLED,EQUITY,US
TRD-00075,2024-03-16,CP-1525,3647745.77,JPY,SETTLED,EQUITY,APAC
TRD-00076,2024-03-17,CP-6168,3858639.03,USD,SETTLED,BOND,EU
TRD-00077,2024-03-18,CP-7572,379482.81,JPY,SETTLED,EQUITY,US
TRD-00078,2024-03-19,CP-5386,1798743.99,USD,SETTLED,BOND,EU
